Longitude,Latitude
72.44444444444444,18.5
69.72222222222221,15.600000000000005
69.66666666666666,15.160000000000005
69.62962962962963,14.700000000000005
69.71428571428571,14.271428571428576
69.39682539682539,13.228571428571433
69.60317460317461,12.657142857142862
69.76190476190477,12.11428571428572
69.90476190476191,11.700000000000005
69.95238095238095,11.357142857142861
69.98412698412699,11.142857142857148
69.77777777777777,11.028571428571434
69.53968253968254,10.95714285714286
69.26984126984127,10.900000000000004
68.98412698412697,10.814285714285717
68.4126984126984,10.742857142857146
67.82539682539682,10.700000000000003
67.09523809523809,10.671428571428574
66.47619047619047,10.628571428571432
65.85714285714286,10.642857142857144
65.26984126984128,10.657142857142858
64.6984126984127,10.714285714285717
64.41269841269842,10.771428571428574
64.11111111111111,10.842857142857145
63.95238095238096,10.914285714285716
63.79365079365079,10.98571428571429
63.58730158730158,11.028571428571434
63.38095238095237,11.057142857142862
63.17460317460317,11.071428571428575
62.96825396825396,11.071428571428575
62.77777777777778,11.028571428571434
62.58730158730158,10.971428571428575
62.396825396825385,10.92857142857143
62.26984126984126,10.871428571428572
62.11111111111112,10.828571428571431
61.95238095238095,10.771428571428574
61.76190476190476,10.728571428571431
61.58730158730158,10.671428571428574
61.4126984126984,10.628571428571432
61.23809523809524,10.571428571428575
61.047619047619044,10.528571428571434
60.88888888888889,10.471428571428575
60.73015873015873,10.42857142857143
60.57142857142856,10.342857142857143
60.49999999999999,10.316666666666668
60.42222222222222,10.280000000000001
60.33333333333333,10.25
60.0,10.0
